	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
341	36 hpf	13	NA	progenitors (midbrain)	ascl1b.1, helt, hs3st1l2, sox19a, her2, otx1a, her4.1, pax7a, cep112, gsx1, dla, pax7b, dbx1a, pax3a, otx2, eng2b
342	36 hpf	14	NA	retina neuroblasts (amacrine/horizontal)	atoh7, hes2.2, ndrg1b, otx2, olig2, neurod4, foxn4, vsx1, sept4a, foxg1b, insm1a, tfap2d, neurod1, hes2.1
343	36 hpf	15	NA	neurons (midbrain)	dmbx1a, skor1b, tfap2b.1, pax8, tfap2a, crabp1b, pax2a, lhx1a, elavl3, uncx3.1, scrt1a, gdf11, gbx1, lhx5
344	36 hpf	16	24h-15	neural crest (pharyngeal arch)	grem2b, dlx2a, barx1, emx2, twist1a, lhx6, pmp22a, dlx5a, dlx4a, fmoda, krt18, rgmd, her6, ms4a17a.7, six1a
345	36 hpf	17	24h-12	comittted progenitors	her4.2, dlb, her15.1, her15.2, gadd45gb.1, elavl3, ebf2, scrt2, insm1a, myt1b, ebf3a, srrm4, dla, tfap2e, neurod1, neurod4, eng2b
346	36 hpf	18	NA	diencephalon (tuberculum; gabaergic)	otpb, otpa, scrt1a, lhx1a, scrt2, myt1b, lhx5, pax2a, uncx, elavl3, tubb5, nhlh2, eng1b, phyhiplb, olig4, gdf11
347	36 hpf	19	24h-9	neurons, gabaergic/glutamatergic	aldocb, snap25a, scg2b, ndufa4, tubb2, stmn4, syn2a, slc2a3a, cdk5r2a, pygmb, vgf, glrbb, clstn3, syt12
348	36 hpf	20	24h-10	ventral diencephalon	nkx2.4a, nkx2.4b, slc1a3b, rx3, nkx2.1, fezf2, sox1b, prdx1, sox19a, atp1b4, her4.1, 
349	36 hpf	21	NA	retina (amacrine)	pax10, pax6b, prdm13, pax6a, bhlhe22, tfap2c, s1pr1, six6b, fabp7a, tfap2a, pde6g, barhl2, foxg1b, six3a
350	36 hpf	22	24h-5/NA	dorsal diencephalon (thalamus)	lef1, barhl1a, pou4f1, barhl2, lhx9, pou4f2, lhx2b, nrn1a, tfap2d, fez1, elavl3, thsd7aa, pak1
351	36 hpf	23	NA	retina (photoreceptor precursor cells)	pde6g, crx, otx5, gngt2a, nr2e3, tmx3, six7, samd7, rcvrn2, rxrgb, prdm1a, thrb, neurod1, aplnrb, foxg1b
352	36 hpf	24	NA	progenitors (mid/hind)	sox19a, pdgfaa, zic3, atp1b4, zic4, zic2a, fabp11a, pax7b, zic1, tnfrsf19, cnpy1
353	36 hpf	25	NA	hindbrain	phox2bb, phox2a, prph, slc18a3a, tm6sf2, nefmb, nkx6.1, slit3, isl2a, isl1, lhx4, hoxb6b, onecut1, hoxb5b
354	36 hpf	26	24h-2	committed progenitors	neurog1, cep131, her13, dla, dld, gadd45gb.1, her4.1, fstl1a, neurod4, her4.2, dbx1a, her12, ascl1b.1, elavl3
355	36 hpf	27	NA	retina (RGC)	rbpms2b, cxcr4b, isl1, pax6b, isl2b, pax6a, pou4f2, barhl1a, scrt2, roraa, rbpms2a, pou6f2, six3b, hmx4
356	36 hpf	28	NA	neurons (differentiating, optic stalk?)	gata2a, prdm8, foxn4, golga7ba, slc29a2, dlb, rbpjb, enc3, vsx1, sox14, her15.2, elavl3, myt1b, tal1, dla
357	36 hpf	29	NA	pectoral fin (chondroblast)	hoxa9b, hoxd12a, hoxd9a, hoxa13b, hoxa11b, tbx5a, hoxd11a, hoxa10b, hoxd10a, myoc, hand2, ntd5
358	36 hpf	30	NA	muscle (mesoderm)	myf5, stc2b, hlx1, tcf21, vwde, myod1, tbx1.1, gfra3, igfbp5b, aplnrb, eya1, fgfrl1a, 
359	36 hpf	31	NA	hypothalamus/telencephalon, gabaergic	dlx2b, dlx1a, dlx5a, dlx2a, dlx6a, foxg1a, cxxc4, gad2, slc32a1, isl1, elavl3, tubb5, gas7a, celf4
360	36 hpf	32	NA	retina neuroblasts (amacrine/horizontal)	atoh7, ndrg1b, neurod4, fabp7a, crx, her15.2, insm1a, fkbp1ab, gadd45ba, neurod1, hes2.2
361	36 hpf	33	24h-4	hindbrain (ant. dorsal, rhombic lip)	atoh1a, olig3, atoh1b, olig4, msx1b, cep131, msx3, scrt1b, masp1, dla, her4.2, pou3f1, dld, zic1, her2, atoh8
362	36 hpf	34	24h-7	pharyngeal arch (posterior)	rdh10a, aldh1a2, meis3, hoxb5a, prdm1a, gsc, hoxb6a, hoxb8a, foxf2a, hoxb5b, prrx1b, apela, lhx6, snai1a
363	36 hpf	35	24h-37	neurons (ganglion)	neurod1, tlx2, isl2b, nr6a1b, kctd12.2, six1b, hey1, msi2a, isl2a, phox2a, six2b, fzd8a, tmeff2b, aldh1a2, insm1b
364	36 hpf	36	NA	neurons (ganglion)	chga, isl2b, pou4f1, eya4, sst6, tmeff2b, ppp1r1c, six2b, mgat4b
365	36 hpf	37	24h-24/NA	committed progenitors	lbx1b, her4.1, her12, dla, gadd45gb.1, lrrn1, dld, her2, her15.2, ascl1a, olig3, gsx2, slc1a3a, pax3a, elavl3
366	36 hpf	38	NA	hindbrain	lmx1bb, tlx2, phox2a, phox2bb, lmx1ba, tfap2a, kctd15a, uncx4.1, uncx, pou2f2a
367	36 hpf	39	24h-34	telencephalon (pallium), glutamatergic	neurod6b, eomesa, emx3, tbr1b, cpne2, r3hdm1, kcnip1b, foxg1a, sox4a.1, celf2, bcl11ba, olfm1b, gpr85
368	36 hpf	40	NA	retina neuroblasts (amacrine/horizontal)	vsx1, olig2, hes2.2, otx2, six6b, ascl1a, sept4a, foxg1b, neurod4, crabp1a, cldn5b, six3b, sox3, prox1a
369	36 hpf	41	24h-50	neural crest derived (pigment/xanthophore)	urah, rbp4l, slc22a7a, akr1b1, tmem130, gpd1b, bbscl2l, pon1, oacyl
370	36 hpf	42	NA	hindbrain/cranial nerve	hoxb6b, hoxb8a, hoxb6a, hoxb9a, hoxc3a, hoxb7a, hoxb5b, hoxc8a, hoxa3a, hoxb5a, elavl3
371	36 hpf	43	NA	epidermis	cldni, epcam, ptgs2a, krt92, tagln2, cd9b, lgals3b, egfl6.1, rac2, tp63, ecrg4b, cldn1, oclna
372	36 hpf	44	24h-47	muscle	myog, hsp90aa1.1, acta1a, myod1, tnni2b.1, rbm24a, actc1a, desma, jam2a, tmem38a, ttn.2, tat, ttn.1
373	36 hpf	45	24h-33	placode (adenohypophyseal)	cldnb, f11r.1, cldn7b, epcam, cd9bb, vgll4l, capn8, cldna, she, spint2, 
374	36 hpf	46	NA	pectoral fin	vwde, meox1, angptl7, thbs4b, pdgfrl, col1a1b, col1a2, col1a1a, pmp22a
375	36 hpf	47	NA	retina neurogenesis	ggctb, wfdc1, rx2, cx43, rx1, cyp27c1, aldh1a3, fabp11a, myca, chchd10, zic2b, vsx2, tktb, crip3, dkc1
376	36 hpf	48	NA	progenitors (hindbrain/cranial nerve)	hoxb8a, gfap, hoxc3a, hoxc1a, hoxb6b, hoxb6a, slc1a3a, dhrs3b, hoxb7a, hoxa3a, slc6a9, sp8a, her12
377	36 hpf	49	24h-58	erythrocytes	hbbe1.2, hbbe2, cahz, scl4a1a, tspo, blvrb, alas2, nt5c2l1, hbz, hmbsb
378	36 hpf	50	24h-21	ventral midbrain	ntn1b, shha, ptn, spon1b, ntn1a, daw1, sparcl1, nkx2.2b, nkx2.9, foxa, shhb, foxa1, foxa2, wnt7aa
379	36 hpf	51	24h-5/NA	dorsal diencephalon (thalamus)	scrt1b, alcama, barhl2, barhl1a, nrn1a, scrt1a, lhx2b, lhx9, hoxb3a, gdf11, dlb, plxna4 
380	36 hpf	52	24h-35	epidermis (progenitors)	cldni, lgals1l1, aep1, ptgdsb.1, thy1, rbp4, aqp3a, col1a1b, col11a1a, spaca4l, kera, ecrg4b, tagln2
381	36 hpf	53	NA	pigment cell (iridophore)	sox10, mcamb, emp3b, fxyd1, hepacama, phlda2, col4a1, apoda.1, vamp5, ndrg1a, slc35c2, atf3
382	36 hpf	54	24h-16	midbrain	eng1a, eng2a, pax5, eng1b, cnpy1, eng2bb, pax2a, slf1, pax2b, pax8, atohqa, irx1a, pou3f1
383	36 hpf	55	NA	RPE	tyrp1b, dct, pmela, rlbp1b, slc45a2, pmelb, tyrp1a, gpr143, rlbp1a, tmem243a, rab32a, oca2, pah, mitfa
384	36 hpf	56	24h-5/NA	dorsal diencephalon (thalamus)	tfap2e, tfap2b.1, pou4f1, kctd15a, tfap2a, barhl2, lhx9, lef1, tfap2d, islr2, shox2, foxb1a, scrt1b, eng2b, tcf7l2
385	36 hpf	57	NA	neurons, gabaergic	gata3, nkx1.2lb, tal1, gad1b, khdrbs2, gata2a, onecut1, snpa25a, elavl4, slc6a1b, slc32a1, vgf, rbfox1
386	36 hpf	58	NA	retina (photoreceptor precursor cells)	otx5, nr2e3, six7, crx, samd7, gngt2a, thrb, pde6g, vsx1, crabp1a, ndrg1b, rcvrn2, rxrgb, olig2, sept4a
387	36 hpf	59	24h-53	lens	mipa, cx23, otc, tubb6, crybbb1l3, crybba1l2, bfsp2, endou2, mipb, grifin, cryba1a, lim2.3, prox2, lim2.4, crygmx
388	36 hpf	60	24h-43	olfactory bulb (neurons, glutamatergic)	pvalb5, cldnh, pvalb8, capsla, vsig8a, lhx2a, fabp10b, bik, s100z
389	36 hpf	61	24h-57	neutrophils	mfap4, lgals2a, ccl34b.1, fcer1gl, coro1a, lygl1, srgn, havcr1, ccl34a.4, lgals3bpb, tnfb, gng10, mpeg1.1, crip1
390	36 hpf	62	24h-40	rostral blood island (myeloid)	etv2, vsg1, clec14a, cdh5, myct1a, bcl6b, ecscr, flt1, erg, fli1b, esama, scarf1, flt4, pecam1
391	36 hpf	63	NA	glial progenitors	fabp7b, hepacama, bmp2a, dnaaf1, ppfibp2a, tpbga, enkur, foxj1a, rspo2, wnt3a, rspo3, tex9, lmx1a
392	36 hpf	64	24h-26	eye (non retina)	anxa1b, cldne, capn9, anxa3a, elovl7a, tmem45b, dbnla, krt1-19d, elovl7b
393	2 dpf	0	36h-19	neurons, gabaergic	aldocb, sncb, ywhag2, snap25a, scg2b, eno1a, atp6v0cb, atpv0e2, gad2, gad1b
394	2 dpf	1	NA	cycling cells	npm1a, pcna, stmn1a, nop10
395	2 dpf	2	36h-0	pharyngeal arch (cartilage)	barx1, hand2, lhx6, dlx2a, prrx1b, twist1b, gsc, foxf2a, pax9, lhx8a, pmp22a, foxl1, hoxa2b, dlx5a
396	2 dpf	3	36h-2	pharangeal arch	dlx4a, nkx3.2, dlx5a, dlx3b, dlx4b, dlx2a, dlx6a, fgfbp2a, spon2b, barx1, fgfbp2b, bmpr1ba, foxc1b, foxc1a
397	2 dpf	4	NA	pharangeal arch/pectoral fin (mesoderm)	ccl25b, cthrc1a, aspn, lum, col6a1, col1a2, col1a1a, htra1a, vwa1, col12a1a, col6a2
398	2 dpf	5	NA	neurons (not gabaergic)	sncb, rtn1b, stmn2a, stmn2b, stmn1b, islr2, dclk1b, elavl4, cspg5a, gabrb4
399	2 dpf	6	36h-16	pharyngeal arch	dlx4a, grem2b, dlx5a, dlx2a, emx2, dlx4b, dlx3b, cad1b, nr2f1b, spon2b, dlx6a, fmoda, pmp22a, twist2, twist3, hoxa2b
400	2 dpf	7	36h-4	progenitors	neurog1, gfap, ascl1b.1, plp1a, her12, her4.1, her4.2, dld, dbx1a
401	2 dpf	8	NA	retina (photoreceptor precursor cells)	rs1a, gngt2a, crx, rcvrn2, elovl4b, otx5, ckmt2a, syt5b, neurod1, opn6a
402	2 dpf	9	NA	neurons	tubb5, elavl3, pax2a, lhx5, uncx, lhx1a, fez1, scrt1a, elavl4, 
403	2 dpf	10	36h-13	progenitors (midbrain)	ascl1b.1, her2, pax7a, sox19a, her4.1, plp1a. dbx1b, hs3st1l2, dbx1a, gsx1, eng2b, zic3, pax3a, otx1a, pax7b
404	2 dpf	11	36h-23/58	retina (photoreceptor precursor cells)	pde6g, otx5, crx, gngt2a, rxrga, nr2e3, samd7, six7, prdm1a, elovl4b, slc29a2, krcp
405	2 dpf	12	NA	radial glia	slc1a2b, atp1b4, atp1a1b, slc1a3b, ptn, ntn1b, qki2, hepacama, her8.2, abi3a, sulf2a
406	2 dpf	13	36h-17	progenitors/neurons (differentiating)	dlb, her4.2, her15.2, elavl3, ebf2, dla, srrm4, scrt2, her4.1, scrt1a, neurod4, celf3a, nova2
407	2 dpf	14	36h-9	retina neuroblasts (amacrine/horizontal)	hes2.2, atoh7, ascl1a, six6b, cldn5b, foxn4, hes2.1, six3b, six3a, rx1, dlc, dld, foxg1b, pax6b
408	2 dpf	15	NA	pharyngeal arch	ccl25b, prrx1b, hmx4, pmp22a, prrx1a, ctsk, twist3, bhmt, col1a2, hox2ab, gsc, pcolcea, eya1, boc
409	2 dpf	16	36h-21	retina (amacrine)	pax10, pax6b, pax6a, bhlhe22, tfap2a, tfap2b.1, tfap2c, barhl2, gpm6aa, s1pr1, meis2b, foxg1b, six6b
410	2 dpf	17	NA	retina neurogenesis	dlb, her4.2, her15.2, elavl3, ebf2, dla, srrm4, scrt2, her4.1, rx1
411	2 dpf	18	36h-33	hindbrain (ant. dorsal, rhombic lip)	olig3, atoh1a, her12, masp1, her4.1, olig4, her2, pax3a, zic1, gsx2, gfap, msx3
412	2 dpf	19	NA	eye (cornea), cartilage	lect1, col2a1a, col9a2, col9a3, col9a1a, aspn, pcolcea, cthrc1a, angptl5, tgfbi, ccl25b, ca6
413	2 dpf	20	36h-30	muscle (mesoderm)	vwde, jam2a, myod1, myf5, ttn.2, stc2b, hlx1, tcf21, lmod1a, tbx1.1, rbm24a, gfra3, jam2b, myog
414	2 dpf	21	36h-14/40	retina neuroblasts (amacrine/horizontal)	vsx1, olig2, hes2.2, otx2, ndrg1b, sept4a, neurod4, ptprua, crabp1a, neurog1, foxn4, foxg1b
415	2 dpf	22	36h-52	epidermis (progenitors)	krt91, krtt1c19e, lgals1l1, krt5, s100a10b, rbp4, cldni, aep1, col1a2, ptgdsb.1, cfl1l, col1a1a, thy1, ptgdsb.1
416	2 dpf	23	36h-43	epidermis	cfl1l, cldni, epcam, krt92, tagln2, ociad2, aqp3a, cldn1, lgals3b, ptgs2a, gstm.3, cd9b, tp63
417	2 dpf	24	36h-1	pharyneal arch (cycling)	pmp22a, mfap2, prrx1a, twist1a, cxcl12b, six1a, fli1a, 
418	2 dpf	25	NA	pharyngeal arch (neural crest?)	fgfbp2b, col9a2, matn4, col2a1a, col9a3, col9a1a, lect1, sox10, foxc1b, barx1
419	2 dpf	26	36h-32/NA	retina neuroblasts (amacrine/horizontal)	atoh7, hes2.2, insm1a, neurod4, otx2, foxn4, tfap2d, foxg1b, mki67
420	2 dpf	27	36h-31	hypothalamus 	dlx1a, nkx2.4a, dlx2a, dlx2b, dlx5a, gad2, dlx6a, zc4h2, fez1, prdx1, scl32a1, isl1
421	2 dpf	28	36h-3	cartilage	col2a1a, fgfbp2b, col9a3, col9a1a, col9a2, matn4, lect1, mia, tnxba, nog3, hapln1b, arsia
422	2 dpf	29	NA	glia (pharyngeal)	cldn11a, fabp11a, igfbp2a, cygb1, tfpia, pdgfrl, fstl1a, apof, tmem100b, zic2a, cx44.2, ca6
423	2 dpf	30	36h-63	glial progenitors	zic2a, clybl, zic4, zic1, zic5, zic6, zic3, fabp7b, hepacama, fzd10, zic2b, pdgfaa
424	2 dpf	31	NA	retina (cone bipolar cells)	gnb3a, vsx1, pcp4l1, samsn1a, crx, gng13b, ndrg1b, scg3, prox1a, scrt2, syt5b, bhlhe23, neurod4, otx5
425	2 dpf	32	36h-54	midbrain	eng2b, eng2a, cnpy1, pax5, eng1b, slf1, pax8, sox19a, sox21a, foxb1a, pax2a, pax7a, pax7b, gfap
426	2 dpf	33	36h-47	retina neurogenesis	cyp27c1, fabp11a, ggctb, rx1, clec19a, wfdc1, npm1a, cx43, atic
427	2 dpf	34	NA	pharyngeal arch	sfrp2, foxf2a, foxl1, foxf2b, mxra8b, rnd3b, myl9a, prrx1a, sost, twist2, foxd2
428	2 dpf	35	NA	pharyngeal arch	hand2, gsc, sfrp5, satb2, cyp2ad3, foxf2a, mxra8b, hpgd, fhl1b, twist1a, prrx1, col6a3
429	2 dpf	36	36h-25	hindbrain	phox2bb, phox2a, hoxb5b, hoxb5a, hoxb6b, vim, hoxb6a, prph, elavl4, gap43, tubb5, hoxa3a, gng2
430	2 dpf	37	36h-41	neural crest derived (pigment/xanthophore)	wu:fc46h12, gch2, urah, slc22a7a, akr1b1, rbp4l, tmem130, prdx1, gpd1b, bscl2l, sox10
431	2 dpf	38	36h-49	erythrocytes	hbbe1.1, hbbbe1.2, hbbe3, hbbe2, cahz, slc4a1a
432	2 dpf	39	36h-29	pectoral fin (chondroblast)	ntd5, hoxa13b, hand2, hoxa9b, hoxa11b, and2, hoxd12a, hoxd9a, emilin3a, hoxa10b, tbx5a
433	2 dpf	40	36h-27	retina (RGC)	rbpms2b, rbpms2a, isl2b, pou4f2, pou6f2, tkta, pax6a, isl1, gng13b
434	2 dpf	41	36h-20	ventral diencephalon	nkx2.4a, nkx2.4b, rx3, fezf2, slc1a3b, nkx2.1, prdx1, sox1b, shha, atp1b4, sox19a, her4.1, her4.2
435	2 dpf	42	NA	eye (cornea), cartilage	wfdc2, angptl7, lect1, col11a2, pdgfrl, prelp, serpinf1, col9a3, col9a2, col9a1a, cthrc1a, col2a1a, vwde
436	2 dpf	43	36h-22/51/56	dorsal diencephalon (thalamus)	lef1, barhl2, pou4f1, pou4f2, barhl1a, tfap2d, lhx9, scrt1b, tfap2e, fez1, pou3f1, lhx2b, nrn1a, stap2a
437	2 dpf	44	36h-44	muscle	actc1b, mylpfa, tnni2b.1, myog, ckma, ckmb, tnnt3b, acta1a, actc1a, atp2a1, desma, ttn.2, myod1
438	2 dpf	45	36h-39	telencephalon (pallium), glutamatergic	eomesa, neurod6b, tbr1b, elavl4, camk2n1a, emx3, r3hdm1, adcyap1b, olfm1b, slc1a2b
439	2 dpf	46	NA	epidermis	epgn, hcls1, col28a2a, mapk12a, arhgef5, krt17, pfn1, krt5, cfl1l, cldni, krt97, aqp3a
440	2 dpf	47	36h-36	neurons (ganglion)	vim, pou4f1, sst6, tubb2, anxa13l, isl2b, tmef2b, prkg1a, drgx, chga
441	2 dpf	48	36h-8	mesoderm	pitx2, slc43a3b, lmx1bb, prss35, myoc, tnw, fmoda, foxc1a, ca6, lmx1ba, irx1b, pitx1, col2a1a, ftr82
442	2 dpf	49	36h-10	midbrain (optic tectum)	tal1, zfpm2b, gata3, sox14, lhx1a, gata2a, emx2, scrt1a, uncx, pax7a, lhx5, slc6a1b, tcf7l2, tfap2e, lhx1a, gad2
443	2 dpf	50	36h-45	placode (adenohypophyseal)	agr2, cd9b, icn, cldnb, epcam, cldnh, muc5.1, cldn7b, pvalb8, mal, she, f11r.1
444	2 dpf	51	36h-34	pharyngeal arch (posterior)	hoxb6a, meis3, hoxb8a, hoxb5a, rdh10a, hoxb5b, lhx6, hoxc3a, gsc, rbp5, hoxa3a, hoxb3a, tbx2a
445	2 dpf	52	36h-35	neurons (ganglion) forebrain	nr6a1b, rab3db, neurod1, tlx2, six2b, msi2a, six1b, kctd12.2, cdh6, isl2b, insm1b, irx1b, bcam, elavl3
446	2 dpf	53	36h-55	RPE	fabp11b, tyrp1b, dct, pmela, mb, pmelb, rlbp1b, slc45a2, gpr143, tyrp1a, cx43, qdpra. rlbp1a, stra6
447	2 dpf	54	36h-60	olfactory bulb (neurons, glutamatergic)	pvalb5, s100z, pvalb8, cldnh, capsla, vsig8a, fabp10b, gipc3, enkur
448	2 dpf	55	36h-64	eye (non retina)	anxa1c, agr1, fut9d, lye, anxa1a, ponzr3, anxa1b, cldne, mid1ip1a
449	2 dpf	56	NA	retina neurons	pde6g, rem1, prkar2ab, prdm13, prox1a, btbd17, pax6b, foxg1b, isl1, hmx3a, pax6a, h2afx
450	2 dpf	57	NA	neural crest derived 	scn4ab, mcamb, sox10, zwi, phlda2, col4a1, fxyd1, ngfrb, slc35c2, fstb 
451	2 dpf	58	36h-62	rostral blood island (myeloid)	vsg1, sox7, clec14a, cdh5, tmem88a, ponzr1, pecam1, etv2, srgn, dusp5, myct1a, clic2, gpr182
452	2 dpf	59	NA	hypothalamus	sox1b, nr5a1b, six6a, nr0b1, cbln1, sox1a, pdyn, nr5a2, sox14, avp, fezf1, lhx5, nkx2.4a, vax1, nkx2.2a
453	2 dpf	60	36h-28	neurons (differentiating, optic stalk?)	neurog1, gbx1, gata2a, foxn4, prdm8, insm1a, dlb, gdf11, enc3, vsx1, dla, notch1a, sox14
454	2 dpf	61	36h-61	neutrophils	ccl34b.1, fcer1gl, srgn, mfap4, ccl34a.4, mpx, coro1a, lgals2a, lyz
455	2 dpf	62	36h-59	lens	mipb, lim2.1, lim2.3, endou2, otc, cx23, crybb1l3, cryba1l2, lim2.5, lim2.4, cryba2a
456	2 dpf	63	NA	otic vesicle	atp1a1a.4, bricd5, cldna, col9a1b, otomp, stm, agr2, sox10, tmprss5 
457	2 dpf	64	NA	neurons (differentiating, placode)	phox2bb, phox2a, insm1b, tlx3b, syt9b, hey1, tlx2, isl1, neurod1, olig2, isl2b, hoxa3a, hoxb3a, hoxb5a, eya1, elavl3
458	2 dpf	65	36h-53	pigment cell (iridophore)	defbl1, pnp4a, apoda.1, lypc, gpnmb, nme4, ponzr1, akap12a, tpd52l1, tfec, pltp, mthfd1l
459	2 dpf	66	36h-55	pigment cell (melanocyte)	dct, MREG, tyrp1a, slc45a2, tmem243a, pah, oca2, mlpha, ocstamp, slc29a3, slc22a2, drd4, tyr
460	2 dpf	67	NA	pronephros	nphs2, sepp1a, apoa2, pvalb7, podxl, enpp6, mafba, pvalb7, ucmaa, ptprh.1, myoz1b, wt1b, naalad2
461	2 dpf	68	NA	OPC	olig1, bcan, syt9b, rasgrp4, fibcd1, tub, itsn2a, nkx2.2a, sox10, zcchc24, traf4a, olig2, aplnrb, tmem178b
462	3 dpf	0	NA	neurons (gabaergic ++, midbrain, optic tectum)	gad2, slc6a1b, slc32a1, snap25a, elavl4, gad1b, atp6v0cb, stmn2a, atpv0e2, lhx5, tal1, lhx1a, fgf12a
463	3 dpf	1	NA	neurons	gpm6ab, rtn1a, tubb5, elavl4, lhx9, fez1, elavl3
464	3 dpf	2	NA	progenitors	-
465	3 dpf	3	2d-13	progenitors/neurons (differentiating)	her4.2, her15.1, her15.2, her4.1, her2, dla, her12, ascl1b.1, hmgb2b, sox19a, sox3, ascl1a, dlb, hmgb2a
466	3 dpf	4	NA	neurons (glutamatergic ++)	scg2b, gap43, stmn2a, slc17a6b, adcyap1b, sncb, atp6v0cb, elavl4, cdk5r2a, bdnf, nrn1a, slc35g2a, slc2a3a, vgf
467	3 dpf	5		pectoral fin	ccl25b, prrx1b, pmp22a, aspn, sfrp2, col1a2, col1a1a, bhmt, fstb, thbs4b, cyp1c1, prrx1a, meox1, col5a1, pcolcea
468	3 dpf	6	2d-3	pharangeal arch	dlx4a, ecrg4a, dlx5a, spon2b, dlx3b, dlx4b, fgfbp2a, dlx2a, pmp22a, sost, barx1, fmoda, bmp5, nkx3.2, dlx6a
469	3 dpf	7	2d-38	erythrocytes	hbae3, hbbe1.1, hbbe2, hbbe1.2, cahz, fth1a, hbbe3
470	3 dpf	8	2d-25	pharyngeal arch (neural crest?)	lect1, matn4, col2a1a, col9a3, col9a1a, col9a2, epyc, cthrc1a, col11a1a, tgfbi, col11a2, fibina, cyp26c1.1, gpx7
471	3 dpf	9	2d-2	pharyngeal arch (cartilage)	barx1, lhx6, hand2, pmp22a, gsc, foxf2a, hpgd, dlx2a, tmem119b, prrx1b, hoxb3a, twist1b, twist1a, prrx1a, sost
472	3 dpf	10	2d-6	pharangeal arch	dlx4a, cald1b, grem2b, twist2, angptl7, hpdb, twist3, hapln1a, hgd, dlx5a, dlx3b, dlx2a, pmp22a, rgs5a
473	3 dpf	11	2d-11	retina (photoreceptor precursor cells)	rs1a, crx, elovl4b, rcvrn2, ckmt2a, syt5b, msi1, gngt2a, tulp1a, tmx3, neurod1, otx5, pde6g, arl13a, atp2b1b
474	3 dpf	12	2d-42	eye (cornea), cartilage	ogn, matn4, col9a1a, col9a3, lect1, fibina, serpinf1, wfdc2, col9a2, col2a1a, cldn11a, pdgfrl, tnw
475	3 dpf	13	2d-12	radial glia	fabp7a, glula, slc1a2b, her4.1, atp1a1b, atp1b4, cx43, slc1a3b, mfge8a, her4.2, s1pr1
476	3 dpf	14	2d-4	pharangeal arch/pectoral fin (mesoderm)	krt94, aldh1a2, col6a1, osr1, mfap5, col6a2, col6a3, htra1a, osr2, c1qtnf2, pmp22a, krt8, plpp3
477	3 dpf	15	2d-10	progenitors (midbrain)	eng2b, atp1b4, eng2a, pcna, sox19a, sox3, hmgb2b, cdc7a, pax7a, 
478	3 dpf	16	2d-22	epidermis (progenitors)	ptgdsb.1, rbp4, lgals1l1, cxl34b.1l, ptgdsb.2, s100a10b, aep1, cldni, ecrg4b, kera, aqp3a, thy1, spaca4l, rhbg
479	3 dpf	17	2d-14	retina neuroblasts (amacrine/horizontal)	hes2.2, atoh7, olig2, foxn4, gadd45gb.1, neurod4, cldn5b, ascl1a, neurog1, hes6, otx2
480	3 dpf	18		epidermis	krt15, cldni, krt91, cfl1l, cxl34b.11, apoeb, aqp3a, spaca4l, thy1, anxa2a, rbp4, gstm.3, postna
481	3 dpf	19	NA	neurons (gabaergic ++)	kctd4, gad2, adcyap1r1a, nrgna, scg2b, dlx1a, gap43, dlx5a, slc32a1, ngb
482	3 dpf	20	2d-55	periderm	icn2, cyt1, cyt1l, krt17, krt4, agr1, fut9d, lye, cldne, mid1ip1a, anxa1c, anxa1b, sceI, pycard
483	3 dpf	21	2d-23	epidermis	cldni, apoeb, epcam, cdl1l, aqp3a, cd9b, ptgs2a, tp63, gstm.3, anxa2a
484	3 dpf	22	2d-16	retina (amacrine)	pax10, cacng5a, bhlhe22, pax6b, tfap2b.1, tkta, slc32a1, pax6a, tfap2a, gad1b, gad2
485	3 dpf	23	2d-8	retina (cones)	pde6h, opn1mw1, opn1lw2, arr3a, gnbb3b, rcvrn2, opn1sw2, arr3b, rbp4l, gngt2a, rcvrn3, ckmt2a,rs1a
486	3 dpf	24	2d-47	neurons (ganglion)	sst6, anxa13l, isl2b, prph, tubb2, nefma, pou4f1, eya4, tlx2, tusc5a, ppp1r1c, sgk494a, st8sia5, vim, chga
487	3 dpf	25	2d-25	pharyngeal arch (neural crest?)	fgfbp2b, col9a1a, lect1, col9a3, col9a2, matn1, col2a1a, col11a2, papss2b, sox10
488	3 dpf	26	NA	pectoral fin (mesoderm)	ifitm1, rgs5a, ttc36, msx3, alx4a, lhx8a, hgd, msx1b, aspn, prrx1b, barx1, lhx6, wnt11r
489	3 dpf	27	NA	eye (cornea), epithelium	slc43a3b, EMILIN3, myoc, myl9a, enpp6, lmx1bb, pitx2, prss35, foxc1a, ntd5, cthrc1a, irx1b, wfdc2, tnw, emilin1a
490	3 dpf	28	2d-34	pharyngeal arch	sfrp2, foxf2a, foxl1, ccdc3b, foxf2b, hsd11b2, gsc, pmp22a, mxra8b, twist2, col6a1, rgs5a
491	3 dpf	29	2d-28	cartilage	matn1, mia, f13a1b, tnxba, prss35, ucmab, fgfbp2b, col11a2, epyc, slc35d1a, nog3, col9a3, col9a1a, col11a1a
492	3 dpf	30	2d-41	ventral diencephalon/hypothalamus	nkx2.4a, nkx2.4b, rx3, prdx1, slc1a3b, nkx2.1, fezf2, sox1b, sox1a, insm1a, zbtb20
493	3 dpf	31	2d-64	neurons (differentiating, placode)	her15.1, her15.2, neurod1, her4.2, dla, tlx2, dlb, phox2a, six1b, phox2bb, eya2, neurod4
